,laser1,laser2,laser3,laser4
0,494.11764705882354,487.88235294117646,493.37254901960785,478.0566037735849
1,493.84313725490193,488.06,493.7450980392157,476.94117647058823
2,493.7,488.05882352941177,494.16,477.65384615384613
3,494.06,487.96,493.88,477.6862745098039
4,493.4,488.0769230769231,494.27450980392155,477.96078431372547
5,493.61538461538464,488.078431372549,493.96078431372547,477.8
6,492.96,487.64,493.88235294117646,478.15384615384613
7,493.3529411764706,487.9807692307692,493.7647058823529,477.88
8,493.6923076923077,487.94,493.4117647058824,478.04
9,493.74,487.98039215686276,493.8627450980392,478.2549019607843
10,493.78846153846155,487.94117647058823,493.5833333333333,477.8235294117647
11,493.98,487.76,493.68,477.8235294117647
12,493.88461538461536,488.08,493.66,478.2692307692308
13,494.55102040816325,488.05882352941177,493.3137254901961,477.78
14,494.0980392156863,488.01960784313724,493.03921568627453,478.22641509433964
15,493.47058823529414,488.08,493.38,477.9433962264151
16,494.36538461538464,487.7,493.36,478.18
17,494.13461538461536,488.24,493.14,478.2
18,494.6326530612245,488.1923076923077,493.74,477.96078431372547
19,493.98039215686276,487.8627450980392,493.72,478.48
20,494.47058823529414,487.96,493.76,477.6666666666667
21,494.078431372549,487.6470588235294,493.65384615384613,477.78846153846155
22,493.78,488.11538461538464,493.1,478.34
23,494.0576923076923,487.9,493.58,478.11538461538464
24,494.04,487.72549019607845,493.15686274509807,478.08
25,494.6470588235294,487.92,493.42,478.1
26,493.7843137254902,487.86,493.3265306122449,478.3333333333333
27,494.1372549019608,487.8867924528302,493.24,479.06
28,493.71153846153845,487.96,493.80392156862746,478.4339622641509
29,493.84,487.6666666666667,493.2,478.734693877551
30,494.58,487.76,493.48979591836735,478.6923076923077
31,494.3076923076923,487.9,493.2040816326531,478.625
32,494.46153846153845,487.86,493.39622641509436,478.3018867924528
33,494.4117647058824,487.94,493.52,478.19607843137254
34,494.13461538461536,487.46938775510205,493.44,478.53846153846155
35,494.8627450980392,487.47058823529414,493.2,478.078431372549
36,494.47058823529414,487.82,493.1764705882353,478.22641509433964
37,494.76,487.96153846153845,493.46,478.3125
38,493.98,488.0769230769231,493.2,478.0980392156863
39,494.14,487.6862745098039,493.6666666666667,478.4
40,494.2,487.5111111111111,494.0,477.921568627451
41,494.19607843137254,487.64150943396226,494.1,478.2692307692308
42,494.01960784313724,487.70588235294116,493.9230769230769,478.47058823529414
43,494.11538461538464,487.78,493.94,478.48
44,494.16,487.98,493.7450980392157,478.3265306122449
45,493.9622641509434,487.72549019607845,493.54,477.96
46,494.03921568627453,487.9,493.92,477.8
47,493.31481481481484,487.4583333333333,493.42,477.98
48,493.90384615384613,487.68,493.90384615384613,477.98
